id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
A1,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
A2,Adelie,Torgersen,39.5,17.4,186,3800,female,2007
A3,Adelie,Torgersen,40.3,18,195,3250,female,2007
A4,Adelie,Torgersen,NA,NA,NA,NA,NA,2007
A5,Adelie,Torgersen,36.7,19.3,193,3450,female,2007
A6,Adelie,Torgersen,39.3,20.6,190,3650,male,2007
A7,Adelie,Torgersen,38.9,17.8,181,3625,female,2007
A8,Adelie,Torgersen,39.2,19.6,195,4675,male,2007
A9,Adelie,Torgersen,34.1,18.1,193,3475,NA,2007
A10,Adelie,Torgersen,42,20.2,190,4250,NA,2007
A11,Adelie,Torgersen,37.8,17.1,186,3300,NA,2007
A12,Adelie,Torgersen,37.8,17.3,180,3700,NA,2007
A13,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
A14,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
A15,Adelie,Torgersen,34.6,21.1,198,4400,male,2007
A16,Adelie,Torgersen,36.6,17.8,185,3700,female,2007
A17,Adelie,Torgersen,38.7,19,195,3450,female,2007
A18,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
A19,Adelie,Torgersen,34.4,18.4,184,3325,female,2007
A20,Adelie,Torgersen,46,21.5,194,4200,male,2007
A21,Adelie,Biscoe,37.8,18.3,174,3400,female,2007
A22,Adelie,Biscoe,37.7,18.7,180,3600,male,2007
A23,Adelie,Biscoe,35.9,19.2,189,3800,female,2007
A24,Adelie,Biscoe,38.2,18.1,185,3950,male,2007
A25,Adelie,Biscoe,38.8,17.2,180,3800,male,2007
A26,Adelie,Biscoe,35.3,18.9,187,3800,female,2007
A27,Adelie,Biscoe,40.6,18.6,183,3550,male,2007
A28,Adelie,Biscoe,40.5,17.9,187,3200,female,2007
A29,Adelie,Biscoe,37.9,18.6,172,3150,female,2007
A30,Adelie,Biscoe,40.5,18.9,180,3950,male,2007
A31,Adelie,Dream,39.5,16.7,178,3250,female,2007
A32,Adelie,Dream,37.2,18.1,178,3900,male,2007
A33,Adelie,Dream,39.5,17.8,188,3300,female,2007
A34,Adelie,Dream,40.9,18.9,184,3900,male,2007
A35,Adelie,Dream,36.4,17,195,3325,female,2007
A36,Adelie,Dream,39.2,21.1,196,4150,male,2007
A37,Adelie,Dream,38.8,20,190,3950,male,2007
A38,Adelie,Dream,42.2,18.5,180,3550,female,2007
A39,Adelie,Dream,37.6,19.3,181,3300,female,2007
A40,Adelie,Dream,39.8,19.1,184,4650,male,2007
A41,Adelie,Dream,36.5,18,182,3150,female,2007
A42,Adelie,Dream,40.8,18.4,195,3900,male,2007
A43,Adelie,Dream,36,18.5,186,3100,female,2007
A44,Adelie,Dream,44.1,19.7,196,4400,male,2007
A45,Adelie,Dream,37,16.9,185,3000,female,2007
A46,Adelie,Dream,39.6,18.8,190,4600,male,2007
A47,Adelie,Dream,41.1,19,182,3425,male,2007
A48,Adelie,Dream,37.5,18.9,179,2975,NA,2007
A49,Adelie,Dream,36,17.9,190,3450,female,2007
A50,Adelie,Dream,42.3,21.2,191,4150,male,2007
A51,Adelie,Biscoe,39.6,17.7,186,3500,female,2008
A52,Adelie,Biscoe,40.1,18.9,188,4300,male,2008
A53,Adelie,Biscoe,35,17.9,190,3450,female,2008
A54,Adelie,Biscoe,42,19.5,200,4050,male,2008
A55,Adelie,Biscoe,34.5,18.1,187,2900,female,2008
A56,Adelie,Biscoe,41.4,18.6,191,3700,male,2008
A57,Adelie,Biscoe,39,17.5,186,3550,female,2008
A58,Adelie,Biscoe,40.6,18.8,193,3800,male,2008
A59,Adelie,Biscoe,36.5,16.6,181,2850,female,2008
A60,Adelie,Biscoe,37.6,19.1,194,3750,male,2008
A61,Adelie,Biscoe,35.7,16.9,185,3150,female,2008
A62,Adelie,Biscoe,41.3,21.1,195,4400,male,2008
A63,Adelie,Biscoe,37.6,17,185,3600,female,2008
A64,Adelie,Biscoe,41.1,18.2,192,4050,male,2008
A65,Adelie,Biscoe,36.4,17.1,184,2850,female,2008
A66,Adelie,Biscoe,41.6,18,192,3950,male,2008
A67,Adelie,Biscoe,35.5,16.2,195,3350,female,2008
A68,Adelie,Biscoe,41.1,19.1,188,4100,male,2008
A69,Adelie,Torgersen,35.9,16.6,190,3050,female,2008
A70,Adelie,Torgersen,41.8,19.4,198,4450,male,2008
A71,Adelie,Torgersen,33.5,19,190,3600,female,2008
A72,Adelie,Torgersen,39.7,18.4,190,3900,male,2008
A73,Adelie,Torgersen,39.6,17.2,196,3550,female,2008
A74,Adelie,Torgersen,45.8,18.9,197,4150,male,2008
A75,Adelie,Torgersen,35.5,17.5,190,3700,female,2008
A76,Adelie,Torgersen,42.8,18.5,195,4250,male,2008
A77,Adelie,Torgersen,40.9,16.8,191,3700,female,2008
A78,Adelie,Torgersen,37.2,19.4,184,3900,male,2008
A79,Adelie,Torgersen,36.2,16.1,187,3550,female,2008
A80,Adelie,Torgersen,42.1,19.1,195,4000,male,2008
A81,Adelie,Torgersen,34.6,17.2,189,3200,female,2008
A82,Adelie,Torgersen,42.9,17.6,196,4700,male,2008
A83,Adelie,Torgersen,36.7,18.8,187,3800,female,2008
A84,Adelie,Torgersen,35.1,19.4,193,4200,male,2008
A85,Adelie,Dream,37.3,17.8,191,3350,female,2008
A86,Adelie,Dream,41.3,20.3,194,3550,male,2008
A87,Adelie,Dream,36.3,19.5,190,3800,male,2008
