	Adelie1	Adelie2	Adelie3	Adelie4	Gentoo1	Gentoo2	Gentoo3	Gentoo4
PENG0000000001	0	0	0	1	6	0	1	1
PENG0000000002	0	0	0	0	1	0	0	0
PENG0000000003	0	0	0	0	0	0	0	0
PENG0000000004	0	1	0	1	1	0	4	0
PENG0000000005	0	0	0	0	0	0	0	0
PENG0000000006	69	62	27	50	60	23	36	28
PENG0000000007	1231	1251	1053	1479	388	289	245	459
PENG0000000008	0	0	0	0	0	0	0	0
PENG0000000009	1288	1166	1418	1288	1404	955	1595	1670
PENG0000000010	9	8	3	2	3	2	5	5
PENG0000000011	0	0	0	0	0	0	0	0
PENG0000000012	665	622	835	546	645	426	1243	602
PENG0000000013	0	0	0	0	0	0	0	0
PENG0000000014	0	0	0	0	1	0	0	0
PENG0000000015	943	1251	1141	833	525	476	703	467
PENG0000000016	7	9	13	2	3	2	6	4
PENG0000000017	0	0	0	0	0	0	0	0
PENG0000000018	0	0	0	0	0	0	0	0
PENG0000000019	0	0	0	0	0	0	0	0
PENG0000000020	0	0	0	0	0	0	0	0
PENG0000000021	0	0	0	0	0	0	0	0
PENG0000000022	1258	1352	1505	1169	1158	956	1793	1202
PENG0000000023	105	92	99	102	66	42	56	63
PENG0000000024	3	12	13	9	4	3	44	17
PENG0000000025	0	0	1	2	0	0	0	1
PENG0000000026	2254	2780	3161	2391	1859	1382	3479	2263
PENG0000000027	1465	1581	1369	1205	1357	1025	2485	1442
PENG0000000028	0	1	0	1	0	0	0	0
PENG0000000029	618	646	729	589	553	399	673	632
PENG0000000030	4	9	3	7	3	0	4	3
PENG0000000031	1	0	2	0	2	1	0	1
PENG0000000032	616	1017	475	837	584	672	1245	951
PENG0000000033	1671	1817	1708	1267	2299	1558	3249	1848
PENG0000000034	0	0	0	0	0	0	0	0
PENG0000000035	0	0	0	0	0	0	0	0
PENG0000000036	0	0	0	0	0	0	0	0
PENG0000000037	283	262	317	246	280	175	485	276
PENG0000000038	0	0	0	0	0	0	0	0
PENG0000000039	0	0	0	0	0	0	0	0
PENG0000000040	81	79	53	67	61	53	78	78
PENG0000000041	0	0	0	0	0	0	0	0
PENG0000000042	96	144	175	126	100	90	182	129
PENG0000000043	894	1046	1214	1134	1203	964	1994	1479
PENG0000000044	0	0	0	0	0	0	0	0
PENG0000000045	3800	3826	4430	2934	4018	2710	6153	3788
PENG0000000046	0	0	0	0	0	0	0	0
PENG0000000047	0	0	0	0	0	0	0	0
PENG0000000048	0	0	0	0	0	0	0	0
PENG0000000049	899	916	1080	780	1080	908	1591	1368
PENG0000000050	1	0	0	0	0	0	1	0
PENG0000000051	0	0	0	0	0	0	1	0
PENG0000000052	3	17	11	4	4	3	7	5
PENG0000000053	206	228	251	120	126	92	237	87
PENG0000000054	718	970	854	610	819	809	1449	887
PENG0000000055	432	514	490	393	384	329	675	461
PENG0000000056	0	0	0	0	0	0	0	0
PENG0000000057	13301	12638	13474	11492	12084	8141	17515	12360
PENG0000000058	88	52	22	112	61	39	36	136
PENG0000000059	16161	19427	18631	14318	18903	14550	38735	22226
PENG0000000060	322	344	308	261	253	164	406	290
PENG0000000061	3	8	7	2	4	4	3	4
PENG0000000062	0	0	0	0	0	0	0	0
PENG0000000063	0	0	0	1	0	0	5	0
PENG0000000064	1	6	2	3	0	1	11	0
PENG0000000065	4	2	2	4	3	2	3	3
PENG0000000066	830	1000	933	657	852	727	1344	890
PENG0000000067	1	0	6	1	8	1	22	1
PENG0000000068	199	144	306	153	109	36	330	60
PENG0000000069	2	0	1	0	0	0	0	2
PENG0000000070	82	75	53	70	46	32	48	63
PENG0000000071	11822	13559	13252	9514	11590	7007	13721	8934
PENG0000000072	33	53	34	51	9	13	19	29
PENG0000000073	0	0	0	0	1	0	1	0
PENG0000000074	0	0	0	0	0	0	0	0
PENG0000000075	1951	2140	2157	1592	1775	1313	2509	1618
PENG0000000076	882	937	963	782	784	747	1156	1067
PENG0000000077	117	114	133	136	121	82	175	143
PENG0000000078	0	0	0	0	1	0	0	0
PENG0000000079	375	440	455	363	327	212	474	254
PENG0000000080	0	0	0	0	0	0	0	0
PENG0000000081	0	0	0	0	0	0	0	0
PENG0000000082	186	241	208	153	111	137	206	105
PENG0000000083	113	110	126	80	80	70	103	77
PENG0000000084	1002	993	1211	891	1073	769	1715	1224
PENG0000000085	0	0	0	0	0	0	0	0
PENG0000000086	3	5	3	4	2	1	6	6
PENG0000000087	542	442	254	418	294	215	280	328
PENG0000000088	0	0	0	0	0	0	0	0
PENG0000000089	269	464	394	289	202	236	490	252
PENG0000000090	0	0	1	0	0	0	0	0
PENG0000000091	0	0	0	0	0	0	0	0
PENG0000000092	747	568	373	414	1566	697	1033	1104
PENG0000000093	657	664	694	579	664	483	1014	824
PENG0000000094	1	1	0	0	0	1	0	3
PENG0000000095	473	503	479	448	379	260	647	491
PENG0000000096	0	0	0	0	0	0	0	0
PENG0000000097	0	0	0	0	0	0	0	0
PENG0000000098	549	586	842	434	291	249	610	392
PENG0000000099	477	568	618	438	620	527	1298	779
PENG0000000100	1069	1258	1250	967	1193	928	1685	1290
PENG0000000101	0	0	0	0	0	0	0	0
PENG0000000102	29	29	36	19	16	11	30	22
PENG0000000103	0	0	0	0	0	0	0	0
PENG0000000104	1	0	0	0	0	0	0	0
PENG0000000105	0	0	0	0	0	0	0	0
PENG0000000106	508	553	540	435	510	332	662	466
PENG0000000107	0	1	1	0	0	0	2	0
PENG0000000108	1327	1635	1655	1265	1443	1126	1928	1520
PENG0000000109	2818	3124	4535	2392	2280	1637	5127	2626
PENG0000000110	0	0	0	0	0	0	0	0
PENG0000000111	0	0	0	0	0	0	0	0
PENG0000000112	270	350	258	256	282	225	259	353
PENG0000000113	0	0	0	0	0	0	0	0
PENG0000000114	1512	1797	1468	1390	2123	1374	3469	1851
PENG0000000115	0	0	0	0	0	0	0	0
PENG0000000116	0	0	0	0	0	0	0	0
PENG0000000117	6	4	1	3	3	1	0	5
PENG0000000118	2	0	1	19	3	1	2	24
PENG0000000119	270	315	416	287	255	188	565	247
PENG0000000120	36	23	26	25	29	27	33	37
PENG0000000121	0	0	0	0	0	0	0	0
PENG0000000122	4082	4774	5423	3485	4566	2698	5444	3951
PENG0000000123	0	0	0	0	0	0	0	0
PENG0000000124	0	0	0	0	0	0	0	0
PENG0000000125	3189	4182	4015	3255	5340	3452	7319	5448
PENG0000000126	0	0	0	0	1	0	0	1
PENG0000000127	0	0	0	0	0	0	0	0
PENG0000000128	0	0	0	0	0	0	0	0
PENG0000000129	0	0	0	0	0	0	0	0
PENG0000000130	559	1435	1986	458	661	739	3412	619
PENG0000000131	290	376	330	292	160	135	246	194
PENG0000000132	33	37	17	15	3	11	14	3
PENG0000000133	14	12	15	24	15	8	29	22
PENG0000000134	647	770	940	598	669	573	1236	699
PENG0000000135	480	632	468	456	541	436	700	690
PENG0000000136	1254	1394	1199	997	776	724	1117	945
PENG0000000137	2	2	1	2	2	2	0	1
PENG0000000138	1281	1424	1625	1064	1140	1090	2302	1383
PENG0000000139	0	0	0	0	0	0	0	0
PENG0000000140	7	1	3	9	5	3	2	1
PENG0000000141	653	1023	1526	608	625	443	1681	719
PENG0000000142	0	0	0	0	0	0	0	0
PENG0000000143	0	0	0	0	0	0	0	0
PENG0000000144	3	1	2	5	3	3	7	4
PENG0000000145	1	0	0	0	0	0	1	0
PENG0000000146	2362	2376	2666	1812	1904	1167	3026	2003
PENG0000000147	0	0	1	0	1	1	1	0
PENG0000000148	1120	1143	1313	1046	906	634	1264	984
PENG0000000149	22	17	4	4	5	1	0	1
PENG0000000150	2	5	4	2	15	4	6	4
PENG0000000151	0	0	0	0	0	0	0	0
PENG0000000152	315	323	318	253	208	168	418	258
PENG0000000153	0	0	0	0	0	0	0	0
PENG0000000154	209	291	361	148	709	530	807	781
PENG0000000155	0	0	0	1	0	0	0	0
PENG0000000156	0	0	0	0	0	0	0	0
PENG0000000157	0	0	0	0	0	0	0	0
PENG0000000158	0	0	0	0	0	0	0	0
PENG0000000159	0	0	0	0	0	0	0	0
PENG0000000160	12170	8712	13259	9069	9178	5970	17082	9685
PENG0000000161	1	0	0	0	0	0	0	0
PENG0000000162	4668	5256	5952	3923	4143	2948	6035	4236
PENG0000000163	0	0	0	0	0	0	0	0
PENG0000000164	1457	1848	1306	1164	1407	977	1519	1113
PENG0000000165	171	173	185	186	181	122	244	172
PENG0000000166	2969	3601	3441	2587	3669	2341	5330	3535
PENG0000000167	882	658	1206	884	303	223	421	312
PENG0000000168	114	122	115	108	115	73	121	77
PENG0000000169	0	0	0	0	0	0	0	0
PENG0000000170	81	88	110	69	66	49	147	81
PENG0000000171	0	0	0	0	0	0	0	0
PENG0000000172	622	690	573	540	401	261	466	361
PENG0000000173	0	0	0	0	0	0	0	0
PENG0000000174	1382	2540	4135	1708	1858	1784	8283	2570
PENG0000000175	0	2	1	0	1	0	1	0
PENG0000000176	0	0	0	0	0	0	0	0
PENG0000000177	0	0	0	0	0	0	1	0
PENG0000000178	10	46	26	20	39	30	91	29
PENG0000000179	0	0	0	0	0	0	0	0
PENG0000000180	269	317	299	260	266	192	371	292
PENG0000000181	3	1	0	0	1	1	0	0
PENG0000000182	2340	2410	2494	1868	2107	1392	2838	2089
PENG0000000183	0	0	0	0	0	0	0	0
PENG0000000184	2	6	0	4	0	6	2	1
PENG0000000185	700	816	1060	600	678	510	1395	661
PENG0000000186	3857	4335	4150	3390	3054	2052	4454	3085
PENG0000000187	501	472	475	420	494	317	674	425
PENG0000000188	1008	1098	1064	925	1570	1256	2192	1938
PENG0000000189	29	21	11	19	27	17	11	17
PENG0000000190	104	61	208	70	49	28	82	43
PENG0000000191	0	0	0	0	0	0	0	0
PENG0000000192	0	1	1	0	2	0	0	0
PENG0000000193	17	22	9	13	14	8	21	8
PENG0000000194	812	1105	1038	657	747	492	1454	713
PENG0000000195	0	3	4	4	0	0	6	1
PENG0000000196	0	0	0	1	1	0	5	0
PENG0000000197	0	0	0	0	0	0	0	0
PENG0000000198	133	188	165	131	90	64	159	100
PENG0000000199	0	0	0	0	0	0	0	0
PENG0000000200	0	0	0	0	0	0	0	0
PENG0000000201	264	267	324	283	308	238	430	363
PENG0000000202	1422	1658	2398	1450	1195	1118	3059	1713
PENG0000000203	580	572	581	417	718	389	761	552
PENG0000000204	0	0	0	0	0	0	0	0
PENG0000000205	41	48	41	26	41	29	50	39
PENG0000000206	0	0	0	0	0	0	0	0
PENG0000000207	0	0	0	0	1	0	0	0
PENG0000000208	1229	1255	1280	962	1472	894	2229	1335
PENG0000000209	0	0	0	0	0	0	0	0
PENG0000000210	199	232	259	200	139	109	271	175
PENG0000000211	268	249	241	240	247	104	244	208
PENG0000000212	0	0	0	0	0	0	0	0
PENG0000000213	0	0	0	0	0	0	0	0
PENG0000000214	337	386	460	314	292	220	532	288
PENG0000000215	6	7	4	0	1	0	8	1
PENG0000000216	0	0	0	0	1	1	0	1
PENG0000000217	0	0	0	0	0	0	0	0
PENG0000000218	5	8	26	8	4	29	32	40
PENG0000000219	0	0	0	0	0	0	0	0
PENG0000000220	243	239	254	178	210	152	302	212
PENG0000000221	938	1128	1186	826	886	662	1576	1071
PENG0000000222	347	373	360	302	316	236	473	308
PENG0000000223	0	0	0	0	0	0	0	0
PENG0000000224	0	0	0	0	0	0	0	1
PENG0000000225	1	1	1	1	0	1	0	0
PENG0000000226	5	2	4	3	1	0	1	2
PENG0000000227	1	4	0	0	1	0	1	2
PENG0000000228	558	517	563	452	466	292	641	443
PENG0000000229	286	444	341	311	236	263	367	275
PENG0000000230	1	0	0	0	0	0	0	0
PENG0000000231	488	580	574	585	230	144	1220	226
PENG0000000232	137	184	118	116	127	94	175	137
PENG0000000233	207	259	252	214	130	124	201	153
PENG0000000234	1009	1146	986	868	954	640	1058	900
PENG0000000235	0	2	4	0	1	0	1	4
PENG0000000236	1	0	0	0	15	0	0	0
PENG0000000237	0	0	0	3	0	0	2	1
PENG0000000238	107	102	124	96	87	52	86	76
PENG0000000239	1327	5505	2215	4268	483	1208	1656	1469
PENG0000000240	54	85	72	53	32	36	50	38
PENG0000000241	0	0	0	0	0	0	0	0
PENG0000000242	0	1	0	0	0	0	1	3
PENG0000000243	2114	2287	2357	1835	1712	1238	2906	1997
PENG0000000244	608	786	689	504	597	497	875	638
PENG0000000245	71	79	74	75	50	38	75	55
PENG0000000246	3	0	2	0	3	2	1	1
PENG0000000247	0	0	0	0	0	0	0	0
PENG0000000248	67	70	73	55	64	29	83	60
PENG0000000249	27	55	11	107	48	59	71	77
PENG0000000250	1	5	8	0	3	1	16	4
PENG0000000251	1200	1506	1423	1048	1363	1042	1883	1379
PENG0000000252	0	0	0	0	0	0	0	0
PENG0000000253	207	243	202	190	332	233	424	408
PENG0000000254	7	13	9	1	6	3	7	1
PENG0000000255	0	0	0	0	0	0	0	0
PENG0000000256	1780	2327	3113	1773	3677	2327	6526	3291
PENG0000000257	0	0	0	0	0	0	0	0
PENG0000000258	138	174	201	144	140	90	264	176
PENG0000000259	1	7	4	2	4	15	6	5
PENG0000000260	29	44	4	10	31	33	4	20
PENG0000000261	0	1	1	0	1	1	2	0
PENG0000000262	1	6	0	1	3	1	1	2
PENG0000000263	0	0	0	0	0	0	0	0
PENG0000000264	139	309	411	153	117	155	389	140
PENG0000000265	1399	1965	1907	1256	1357	992	2217	1355
PENG0000000266	15	18	25	7	14	6	24	5
PENG0000000267	304	310	280	254	249	224	346	246
PENG0000000268	1	2	3	0	0	3	4	0
PENG0000000269	0	0	0	0	0	0	0	0
PENG0000000270	2403	3061	2519	2065	2416	1517	3250	1939
PENG0000000271	213	249	221	173	168	162	286	175
PENG0000000272	40830	46789	34568	39813	31216	31454	52671	44110
PENG0000000273	34	58	47	64	30	31	49	32
PENG0000000274	0	0	0	0	0	0	0	0
PENG0000000275	1	0	1	0	0	0	0	0
PENG0000000276	0	0	0	0	0	0	0	0
PENG0000000277	0	0	0	1	0	0	0	0
PENG0000000278	0	0	0	0	0	0	0	0
PENG0000000279	0	0	2	0	1	0	0	0
PENG0000000280	108	162	221	132	116	140	343	160
