	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000000001	553	612	906	725	568	426	748	1277	569	532	1274	577
PENG0000000002	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000003	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000004	9	33	17	21	20	7	20	23	10	8	32	30
PENG0000000005	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000006	185	186	119	133	197	67	207	206	185	136	167	104
PENG0000000007	1	0	0	0	0	0	1	2	2	0	0	2
PENG0000000008	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000009	4	0	0	0	1	0	0	1	1	0	3	9
PENG0000000010	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000011	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000012	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000013	3759	1814	5899	3454	3877	2044	5412	3191	3564	1165	5894	3936
PENG0000000014	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000015	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000016	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000017	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000018	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000019	0	14	4	39	0	0	0	419	0	4	2	63
PENG0000000020	0	2	3	4	2	0	2	2	2	1	4	7
PENG0000000021	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000022	9842	8342	10147	8411	10219	9372	9686	5790	8044	6298	9265	10614
PENG0000000023	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000000024	31	466	131	329	27	125	185	2180	15	206	149	265
PENG0000000025	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000026	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000027	3174	4888	2287	3848	3423	4173	2070	5209	3248	3720	2589	3799
PENG0000000028	1	0	0	3	0	0	0	0	0	2	0	0
PENG0000000029	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000030	0	0	0	1	0	0	0	0	0	1	0	0
PENG0000000031	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000032	3194	1915	4769	2360	3434	1623	5038	2280	3628	1228	5100	2360
PENG0000000033	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000034	0	0	1	0	0	0	1	0	0	0	2	0
PENG0000000035	6704	7577	6026	6987	7961	5585	7502	16988	6725	5788	5682	5904
PENG0000000036	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000037	1	3	1	3	2	0	0	65	1	2	3	2
PENG0000000038	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000039	0	2	0	0	0	0	2	2	0	0	1	0
PENG0000000040	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000041	2835	3458	3525	3726	2725	3477	3706	3314	2408	2885	3411	3580
PENG0000000042	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000043	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000044	686	558	354	267	760	432	378	292	809	365	313	209
PENG0000000045	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000046	0	0	0	1	0	0	1	0	0	0	1	0
PENG0000000047	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000048	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000049	730	1507	54	725	778	503	47	726	169	1213	25	575
PENG0000000050	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000051	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000052	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000053	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000054	1469	2097	1708	2268	1570	1244	1752	1718	1371	1493	1668	2040
PENG0000000055	1542	937	1615	581	1837	3465	1880	367	975	908	829	1009
PENG0000000056	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000057	1690	5342	2011	4250	1790	637	2423	13141	1357	3538	1989	2093
PENG0000000058	431	392	441	529	437	208	532	887	704	279	615	307
PENG0000000059	208	247	214	348	208	187	191	505	178	189	209	458
PENG0000000060	2737	3607	3612	3787	2857	3181	3838	2954	2882	3122	3650	3935
PENG0000000061	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000062	696	755	672	646	796	871	728	766	775	687	593	650
PENG0000000063	48	150	22	104	72	32	36	798	109	118	11	119
PENG0000000064	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000065	42	130	19	74	33	29	25	18	34	113	15	50
PENG0000000066	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000067	871	1685	945	1445	742	1066	923	2471	669	1463	821	1577
PENG0000000068	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000069	0	2	0	0	0	3	0	0	0	0	1	0
PENG0000000070	53	112	71	135	52	36	64	367	62	110	20	128
PENG0000000071	5	4	13	11	11	15	19	4	13	21	10	7
PENG0000000072	1	2	0	2	0	0	2	4	1	0	0	1
PENG0000000073	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000074	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000075	25573	21361	24087	24363	26452	7614	29503	51192	20620	15584	19516	18259
PENG0000000076	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000077	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000078	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000079	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000080	6387	8616	6188	10535	7121	3513	7567	12240	6477	6180	7668	6494
PENG0000000081	25890	14724	25192	19048	28121	16974	24160	16703	22899	10973	23672	21804
PENG0000000082	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000083	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000084	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000085	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000086	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000087	38	86	37	58	25	71	29	71	20	80	20	44
PENG0000000088	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000089	1831	1569	1269	1256	1945	1298	1327	1288	1719	1222	1059	1108
PENG0000000090	383	539	174	258	275	628	185	110	269	472	131	232
PENG0000000091	0	0	0	0	0	0	1	0	0	0	0	0
PENG0000000092	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000093	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000094	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000095	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000096	2	9	4	5	8	11	4	12	3	6	4	5
PENG0000000097	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000098	0	46	1	26	0	11	0	425	0	21	0	54
PENG0000000099	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000100	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000101	1752	1591	1689	1484	1985	1251	1650	1239	1707	1176	1599	1635
PENG0000000102	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000103	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000104	1	44	4	70	0	57	2	22	1	41	3	46
PENG0000000105	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000106	0	3	0	0	0	0	0	1	0	0	0	0
PENG0000000107	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000000108	1	0	0	0	0	0	0	0	0	0	0	0
PENG0000000109	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000110	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000111	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000112	507	778	494	611	613	622	618	572	729	600	695	514
PENG0000000113	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000114	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000115	346	92	422	149	398	41	352	391	459	74	482	144
PENG0000000116	1	0	0	0	2	0	0	9	0	0	0	0
PENG0000000117	255	817	137	314	332	1122	334	643	142	857	74	568
PENG0000000118	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000119	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000120	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000121	186	269	218	211	216	234	226	182	162	172	229	212
PENG0000000122	197	1351	207	835	243	1102	307	360	200	1406	66	823
PENG0000000123	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000124	1321	2439	1577	2526	1692	1828	1808	4616	1253	2242	2931	2291
PENG0000000125	4	11	2	10	1	3	5	5	8	2	1	7
PENG0000000126	1	40	7	10	1	1	4	24	0	21	10	16
PENG0000000127	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000128	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000129	1210	2431	1440	1750	1217	1308	1614	1340	1337	2033	1412	1587
PENG0000000130	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000131	0	5	0	10	0	12	0	1	0	6	0	11
PENG0000000132	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000133	0	0	0	0	0	1	0	1	0	1	0	4
PENG0000000134	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000135	5414	6320	6218	5763	6002	3423	6483	5727	5869	4273	5846	5055
PENG0000000136	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000137	0	2	0	2	0	5	2	0	1	1	2	1
PENG0000000138	3839	2327	2840	2180	3617	2167	2960	2287	3534	1907	2465	2666
PENG0000000139	905	1515	221	1209	545	154	80	7911	121	868	48	1444
PENG0000000140	57	616	226	647	66	812	229	177	56	519	637	760
PENG0000000141	4322	3473	2805	3474	5602	3312	2794	5014	4930	2147	3305	3120
PENG0000000142	475	704	583	583	456	498	666	1391	569	660	554	562
PENG0000000143	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000144	7	9	1	5	2	5	1	5	1	7	0	3
PENG0000000145	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000146	1156	1309	1058	1257	1343	1677	1138	1390	1208	933	986	1430
PENG0000000147	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000148	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000149	1592	2874	3807	3265	1835	4767	3670	914	2223	2183	3839	2791
PENG0000000150	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000151	314	142	34	66	359	39	41	179	197	78	9	59
PENG0000000152	0	1	0	3	0	0	0	25	0	1	0	2
PENG0000000153	1057	2175	1204	2016	1199	1407	1383	4487	1123	1481	1365	1954
PENG0000000154	656	468	543	542	822	327	671	761	618	367	549	487
PENG0000000155	0	0	0	0	0	0	2	0	0	0	0	1
PENG0000000156	1	3	0	0	0	0	0	0	0	0	0	1
PENG0000000157	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000158	497	624	724	1440	552	59	243	10871	978	390	812	1136
PENG0000000159	3589	4468	3192	2347	3841	4402	4544	630	4679	3681	2534	3134
PENG0000000160	0	25	1	16	0	9	2	12	0	21	0	28
PENG0000000161	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000162	0	0	0	1	0	0	0	0	0	5	0	1
PENG0000000163	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000164	0	2	1	0	0	0	0	0	0	1	0	0
PENG0000000165	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000000166	9296	5395	8355	5876	9343	5857	8269	4184	7392	3672	7423	7586
PENG0000000167	3395	4614	3146	4841	3577	3270	3951	5466	3740	3892	3056	3974
PENG0000000168	0	8	0	0	0	0	0	1	0	0	0	0
PENG0000000169	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000170	2	5	0	1	0	8	1	4	0	2	0	2
