month	day	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
1	1		14.543	14.131	14.173	14.176	14.185	13.881	13.642	13.769	13.996		14.182	14.023	13.486	13.92	13.905	13.97	14.05	13.687	13.643	13.922	13.743	13.325	13.369	13.476	13.475	13.388	13.054	13.031	13.005	13.034	12.995	13.102	12.596	13.12	12.91	12.882	13.004	12.753	12.564	12.323	12.598	12.857	12.632	13.103
1	2		14.694	14.146	14.174	14.277	14.206	13.955	13.776	13.869	14.099		14.221	14.122	13.565	13.979	13.975	14.015	14.122	13.734	13.694	13.979	13.792	13.373	13.397	13.52	13.542	13.425	13.078	13.085	13.08	13.083	13.054	13.144	12.699	13.233	12.936	12.928	13.044	12.765	12.596	12.396	12.728	12.929	12.658	13.186
1	3		14.791	14.198	14.268	14.351	14.239	14.005	13.917	14.01	14.197		14.273	14.202	13.647	14.016	14.057	14.038	14.184	13.763	13.731	14.066	13.832	13.447	13.417	13.556	13.641	13.45	13.138	13.143	13.129	13.125	13.122	13.174	12.793	13.29	12.953	12.972	13.079	12.771	12.634	12.478	12.819	13.007	12.696	13.259
1	4		14.835	14.251	14.356	14.448	14.279	14.082	14.024	14.164	14.27		14.321	14.281	13.731	14.054	14.125	14.076	14.227	13.78	13.762	14.121	13.857	13.524	13.451	13.592	13.73	13.504	13.19	13.202	13.165	13.178	13.194	13.198	12.892	13.349	12.976	13.055	13.081	12.776	12.702	12.568	12.914	13.074	12.738	13.329
1	5		14.96	14.305	14.382	14.56	14.351	14.17	14.142	14.272	14.361		14.355	14.322	13.808	14.112	14.189	14.129	14.266	13.808	13.835	14.176	13.879	13.589	13.472	13.624	13.836	13.55	13.262	13.251	13.222	13.228	13.255	13.253	12.993	13.397	13.008	13.119	13.095	12.804	12.782	12.655	13.019	13.129	12.783	13.394
1	6		14.949	14.358	14.445	14.667	14.4	14.2	14.23	14.39	14.412		14.374	14.34	13.873	14.149	14.226	14.169	14.302	13.822	13.931	14.223	13.923	13.662	13.52	13.635	13.922	13.568	13.295	13.273	13.281	13.251	13.306	13.303	13.047	13.407	13.042	13.146	13.108	12.867	12.821	12.713	13.096	13.159	12.824	13.451
1	7		14.925	14.411	14.526	14.761	14.422	14.249	14.323	14.438	14.466		14.396	14.362	13.902	14.187	14.268	14.223	14.323	13.86	14.009	14.265	13.964	13.706	13.612	13.685	14.001	13.587	13.353	13.291	13.342	13.301	13.366	13.357	13.099	13.418	13.09	13.174	13.119	12.922	12.869	12.743	13.154	13.185	12.887	13.491
1	8		14.94	14.466	14.562	14.838	14.48	14.267	14.359	14.511	14.54		14.425	14.414	13.93	14.24	14.305	14.279	14.325	13.898	14.105	14.276	14.035	13.759	13.705	13.734	14.05	13.636	13.375	13.296	13.397	13.349	13.43	13.413	13.151	13.451	13.126	13.183	13.143	12.984	12.9	12.764	13.205	13.21	12.935	13.555
1	9		14.948	14.508	14.581	14.937	14.525	14.282	14.419	14.55	14.602		14.482	14.474	13.973	14.309	14.352	14.325	14.329	13.928	14.184	14.313	14.115	13.787	13.809	13.792	14.084	13.677	13.399	13.302	13.434	13.401	13.502	13.483	13.171	13.496	13.175	13.186	13.191	13.056	12.879	12.794	13.288	13.221	12.984	13.601
1	10		15.029	14.556	14.654	14.975	14.541	14.317	14.431	14.581	14.632		14.557	14.546	14.026	14.368	14.401	14.374	14.321	13.943	14.229	14.363	14.185	13.839	13.908	13.84	14.101	13.722	13.423	13.325	13.405	13.457	13.578	13.536	13.171	13.551	13.243	13.236	13.219	13.158	12.867	12.801	13.335	13.231	13.047	13.632
1	11		15.079	14.592	14.666	15.023	14.576	14.345	14.443	14.652	14.69		14.649	14.596	14.076	14.419	14.461	14.418	14.324	13.958	14.252	14.403	14.229	13.905	13.981	13.888	14.13	13.786	13.468	13.37	13.37	13.541	13.643	13.583	13.18	13.62	13.312	13.303	13.264	13.249	12.898	12.825	13.35	13.256	13.108	13.662
1	12		15.162	14.629	14.654	15.062	14.631	14.353	14.49	14.711	14.717		14.742	14.64	14.123	14.465	14.51	14.458	14.347	13.947	14.279	14.439	14.277	13.961	14.039	13.909	14.168	13.858	13.481	13.417	13.326	13.595	13.706	13.618	13.189	13.7	13.383	13.358	13.314	13.315	12.903	12.853	13.358	13.294	13.174	13.696
1	13		15.258	14.676	14.653	15.096	14.628	14.378	14.519	14.775	14.732		14.816	14.669	14.195	14.492	14.548	14.513	14.381	13.971	14.298	14.489	14.299	13.977	14.074	13.973	14.201	13.924	13.531	13.443	13.307	13.657	13.76	13.657	13.219	13.768	13.467	13.417	13.369	13.409	12.904	12.907	13.379	13.322	13.238	13.71
1	14		15.29	14.718	14.67	15.11	14.635	14.382	14.536	14.848	14.732	14.84	14.876	14.693	14.25	14.535	14.602	14.557	14.443	13.987	14.314	14.531	14.318	13.999	14.087	14.038	14.261	13.994	13.569	13.464	13.309	13.707	13.833	13.692	13.269	13.808	13.534	13.473	13.425	13.472	12.905	12.944	13.38	13.382	13.308	13.736
1	15		15.339	14.755	14.696	15.14	14.728	14.379	14.576	14.896	14.752	14.884	14.927	14.706	14.3	14.551	14.68	14.599	14.502	14.012	14.333	14.58	14.365	14.008	14.092	14.097	14.32	14.037	13.589	13.473	13.371	13.754	13.909	13.74	13.331	13.811	13.6	13.508	13.507	13.497	12.902	12.991	13.41	13.455	13.377	13.784
1	16		15.393	14.801	14.698	15.167	14.769	14.39	14.621	14.946	14.767	14.91	14.954	14.708	14.34	14.553	14.773	14.647	14.553	14.052	14.351	14.624	14.399	14.002	14.112	14.183	14.38	14.094	13.627	13.465	13.459	13.775	13.979	13.765	13.391	13.786	13.67	13.539	13.59	13.507	12.91	13.043	13.448	13.505	13.463	13.818
